snum,abvr,roi,lobe,isSideLeft,roiNum,cmap_R,cmap_G,cmap_B
51,CaMFr_R,ctx-rh-caudalmiddlefrontal,Frontal,0,2003,0.392156862745098,0.0980392156862745,0
52,Cun_R,ctx-rh-cuneus,Occipital,0,2005,0.862745098039216,0.0784313725490196,0.392156862745098
53,Ethr_R,ctx-rh-entorhinal,Temporal,0,2006,0.862745098039216,0.0784313725490196,0.0392156862745098
54,Fusi_R,ctx-rh-fusiform,Temporal,0,2007,0.705882352941177,0.862745098039216,0.549019607843137
55,InPar_R,ctx-rh-inferiorparietal,Parietal,0,2008,0.862745098039216,0.235294117647059,0.862745098039216
56,InTem_R,ctx-rh-inferiortemporal,Temporal,0,2009,0.705882352941177,0.156862745098039,0.470588235294118
57,IstCg_R,ctx-rh-isthmuscingulate,Cingulate,0,2010,0.549019607843137,0.0784313725490196,0.549019607843137
58,LOcc_R,ctx-rh-lateraloccipital,Occipital,0,2011,0.0784313725490196,0.117647058823529,0.549019607843137
59,LObFr_R,ctx-rh-lateralorbitofrontal,Frontal,0,2012,0.137254901960784,0.294117647058824,0.196078431372549
60,Ling_R,ctx-rh-lingual,Occipital,0,2013,0.882352941176471,0.549019607843137,0.549019607843137
61,MObFr_R,ctx-rh-medialorbitofrontal,Frontal,0,2014,0.784313725490196,0.137254901960784,0.294117647058824
62,MTem_R,ctx-rh-middletemporal,Temporal,0,2015,0.627450980392157,0.392156862745098,0.196078431372549
63,ParHip_R,ctx-rh-parahippocampal,Temporal,0,2016,0.0784313725490196,0.862745098039216,0.235294117647059
64,ParCnt_R,ctx-rh-paracentral,Frontal,0,2017,0.235294117647059,0.862745098039216,0.235294117647059
65,ParOpr_R,ctx-rh-parsopercularis,Frontal,0,2018,0.862745098039216,0.705882352941177,0.549019607843137
66,ParOrb_R,ctx-rh-parsorbitalis,Frontal,0,2019,0.0784313725490196,0.392156862745098,0.196078431372549
67,ParTrg_R,ctx-rh-parstriangularis,Frontal,0,2020,0.862745098039216,0.235294117647059,0.0784313725490196
68,PerCal_R,ctx-rh-pericalcarine,Occipital,0,2021,0.470588235294118,0.392156862745098,0.235294117647059
69,PsCtr_R,ctx-rh-postcentral,Parietal,0,2022,0.862745098039216,0.0784313725490196,0.0784313725490196
70,PCg_R,ctx-rh-posteriorcingulate,Cingulate,0,2023,0.862745098039216,0.705882352941177,0.862745098039216
71,PreCt_R,ctx-rh-precentral,Frontal,0,2024,0.235294117647059,0.0784313725490196,0.862745098039216
72,Precu_R,ctx-rh-precuneus,Parietal,0,2025,0.627450980392157,0.549019607843137,0.705882352941177
73,RACg_R,ctx-rh-rostralanteriorcingulate,Cingulate,0,2026,0.313725490196078,0.0784313725490196,0.549019607843137
74,RMFr_R,ctx-rh-rostralmiddlefrontal,Frontal,0,2027,0.294117647058824,0.196078431372549,0.490196078431373
75,SpFr_R,ctx-rh-superiorfrontal,Frontal,0,2028,0.0784313725490196,0.862745098039216,0.627450980392157
76,SpPr_R,ctx-rh-superiorparietal,Parietal,0,2029,0.0784313725490196,0.705882352941177,0.549019607843137
77,SpTmp_R,ctx-rh-superiortemporal,Temporal,0,2030,0.549019607843137,0.862745098039216,0.862745098039216
78,SpMar_R,ctx-rh-supramarginal,Parietal,0,2031,0.313725490196078,0.627450980392157,0.0784313725490196
79,Fpole_R,ctx-rh-frontalpole,Frontal,0,2032,0.392156862745098,0,0.392156862745098
80,Tpole_R,ctx-rh-temporalpole,Temporal,0,2033,0.274509803921569,0.274509803921569,0.274509803921569
81,TrTem_R,ctx-rh-transversetemporal,Temporal,0,2034,0.588235294117647,0.588235294117647,0.784313725490196
82,Ins_R,ctx-rh-insula,Subcortical,0,2035,1,0.752941176470588,0.125490196078431
